ticker,signal,score,RSI,MACD,MACD_Signal,EMA_9,EMA_21,BB_High,BB_Low,OBV
NKE,buy,4,58.553365675496664,-0.6966127453280251,-1.644244641979943,58.78752586879418,58.6920927858383,60.80534707041955,53.731462469375366,-305976124.0
AAPL,buy,3,54.866799194929605,-1.7683658575067511,-2.3511928501209822,203.0025748620476,203.98029333112135,215.87858790919782,190.5174158139467,401524713.0
GOOGL,buy,3,50.52054636462824,-0.6379394997117913,-0.65980448603245,157.40050558216615,157.75400170081062,166.70070824756291,147.80729498730037,-179742562.0
QCOM,buy,3,58.3254570337745,-0.08643692523415325,-1.4008409230030077,144.75064607683294,143.86007470330523,152.00119746314704,132.46480748070064,54640470.0
NFLX,sell,-3,59.06183430264648,47.41581147705597,47.848467820162625,1124.5099643010199,1081.9331116000333,1224.5613460085651,934.9076542355756,109477055.0
WMT,sell,-3,56.2947380570938,1.9382849293156852,2.0239785975866553,96.96246069037427,95.23965595368391,100.00819837365617,91.39064119543562,250463371.0
CI,sell,-3,34.31782605669278,1.1906647742756036,3.283542663080726,330.0958304030937,330.46763774333647,343.4096268392029,321.71437523599246,3494239.0
SO,sell,-3,39.17384438634638,0.05160491182265048,0.36018984374346696,90.38318705355245,90.54269353452896,92.66458201398763,89.21841816911785,75273788.0
DUK,sell,-3,39.16690282946034,0.19570072357569757,0.681439699130574,120.18204920279865,120.33269783832752,123.65246693477464,118.1635319055574,23822972.0
CVS,sell,-4,41.20841060773972,0.060550242950156985,0.2775401436272883,66.29934167360531,66.4167717561529,69.38064186189541,63.62930648710361,100313544.0
